# Ventricle export manifest
# base directory for STL and this manifest: C:\Users\thiel\Git\Ventricle-reconstruction-pipeline\dataset\example\export
# Connectivity files are in subfolder: C:\Users\thiel\Git\Ventricle-reconstruction-pipeline\dataset\example\export\Connectivity
#
# index  STL_file            verts_file                         source_object_name
  0  ventricle_0.stl     Connectivity\ventricle_verts_0.txt  ventricle_0
  1  ventricle_1.stl     Connectivity\ventricle_verts_1.txt  ventricle_1
  2  ventricle_2.stl     Connectivity\ventricle_verts_2.txt  ventricle_2
  3  ventricle_3.stl     Connectivity\ventricle_verts_3.txt  ventricle_3
  4  ventricle_4.stl     Connectivity\ventricle_verts_4.txt  ventricle_4
  5  ventricle_5.stl     Connectivity\ventricle_verts_5.txt  ventricle_5
  6  ventricle_6.stl     Connectivity\ventricle_verts_6.txt  ventricle_6
  7  ventricle_7.stl     Connectivity\ventricle_verts_7.txt  ventricle_7
  8  ventricle_8.stl     Connectivity\ventricle_verts_8.txt  ventricle_8
  9  ventricle_9.stl     Connectivity\ventricle_verts_9.txt  ventricle_9
 10  ventricle_10.stl    Connectivity\ventricle_verts_10.txt  ventricle_10
 11  ventricle_11.stl    Connectivity\ventricle_verts_11.txt  ventricle_11
