step_i,time_ms,volume_mL
0,0.000000,43.688002
1,1.007812,43.689627
2,2.015625,43.691184
3,3.023438,43.692618
4,4.031250,43.693873
5,5.039062,43.694892
6,6.046875,43.695618
7,7.054688,43.695995
8,8.062500,43.695964
9,9.070312,43.695468
10,10.078125,43.694449
11,11.085938,43.692850
12,12.093750,43.690614
13,13.101562,43.687683
14,14.109375,43.684001
15,15.117188,43.679511
16,16.125000,43.674157
17,17.132812,43.667883
18,18.140625,43.660636
19,19.148438,43.652359
20,20.156250,43.643000
21,21.164062,43.632505
22,22.171875,43.620822
23,23.179688,43.607899
24,24.187500,43.593684
25,25.195312,43.578129
26,26.203125,43.561182
27,27.210938,43.542797
28,28.218750,43.522924
29,29.226562,43.501516
30,30.234375,43.478529
31,31.242188,43.453915
32,32.250000,43.427630
33,33.257812,43.399630
34,34.265625,43.369872
35,35.273438,43.338314
36,36.281250,43.304912
37,37.289062,43.269626
38,38.296875,43.232414
39,39.304688,43.193237
40,40.312500,43.152053
41,41.320312,43.108824
42,42.328125,43.063509
43,43.335938,43.016070
44,44.343750,42.966466
45,45.351562,42.914659
46,46.359375,42.860610
47,47.367188,42.804277
48,48.375000,42.745622
49,49.382812,42.681285
50,50.390625,42.608165
51,51.398438,42.526612
52,52.406250,42.436985
53,53.414062,42.339642
54,54.421875,42.234950
55,55.429688,42.123272
56,56.437500,42.004978
57,57.445312,41.880435
58,58.453125,41.750010
59,59.460938,41.614070
60,60.468750,41.472980
61,61.476562,41.327102
62,62.484375,41.176796
63,63.492188,41.022416
64,64.500000,40.864314
65,65.507812,40.702837
66,66.515625,40.538327
67,67.523438,40.371120
68,68.531250,40.201546
69,69.539062,40.029930
70,70.546875,39.856589
71,71.554688,39.681837
72,72.562500,39.505976
73,73.570312,39.329306
74,74.578125,39.152119
75,75.585938,38.974697
76,76.593750,38.797320
77,77.601562,38.620258
78,78.609375,38.443776
79,79.617188,38.268130
80,80.625000,38.093573
81,81.632812,37.920349
82,82.640625,37.748697
83,83.648438,37.578851
84,84.656250,37.411039
85,85.664062,37.245483
86,86.671875,37.082403
87,87.679688,36.922012
88,88.687500,36.764520
89,89.695312,36.610134
90,90.703125,36.459058
91,91.710938,36.311493
92,92.718750,36.167639
93,93.726562,36.027695
94,94.734375,35.891857
95,95.742188,35.760324
96,96.750000,35.633294
97,97.757812,35.507183
98,98.765625,35.378369
99,99.773438,35.246991
100,100.781250,35.113188
101,101.789062,34.977097
102,102.796875,34.838854
103,103.804688,34.698594
104,104.812500,34.556450
105,105.820312,34.412553
106,106.828125,34.267034
107,107.835938,34.120021
108,108.843750,33.971642
109,109.851562,33.822023
110,110.859375,33.671287
111,111.867188,33.519558
112,112.875000,33.366956
113,113.882812,33.213600
114,114.890625,33.059608
115,115.898438,32.905097
116,116.906250,32.750181
117,117.914062,32.594972
118,118.921875,32.439582
119,119.929688,32.284121
120,120.937500,32.128696
121,121.945312,31.973414
122,122.953125,31.818379
123,123.960938,31.663695
124,124.968750,31.509463
125,125.976562,31.355784
126,126.984375,31.202755
127,127.992188,31.050474
128,129.000000,30.899036
